PLATAFORMA;PRODUTO
DRCC;Oracle Cloud Infrastructure Application Performance Monitoring Service-Stack Monitoring
DRCC;MySQL Database-Standard-Intel X9-Compute
DRCC;MySQL Database-Standard-Intel X9-Memory
DRCC;Oracle Autonomous Data Warehouse-ECPU
DRCC;Oracle Autonomous Transaction Processing- ECPU
DRCC;Oracle Autonomous Data Warehouse-ECPU- BYOL
DRCC;Oracle Autonomous Transaction Processing- ECPU-BYOL
DRCC;Oracle Autonomous Database Storage for Transaction Processing
DRCC;Oracle Autonomous Data Warehouse-Dedicated- ECPU
DRCC;Oracle Autonomous Transaction Processing- Dedicated-ECPU
DRCC;Oracle Autonomous Data Warehouse-Dedicated- ECPU-BYOL
DRCC;Oracle Autonomous Transaction Processing- Dedicated-ECPU-BYOL
DRCC;Oracle Autonomous Database Storage
DRCC;Oracle Cloud Infrastructure-HeatWave-Storage
DRCC;Oracle Cloud Infrastructure-HeatWave
